Metric,Definition
Startup Employee,Percentage of entrepreneurs that had prior experience working for startups
Traditional Founder,Percentage of entrepreneurs that had prior experience starting a traditional business
Targeting Global Market First,Percentage of startups that are first targeting global markets. Either immediate going-global or targeting one of the global markets of innovation - US or UK.
Biz & Tech Founders,Percentage of startups with at least one founder with business and one founder with technical background.
Business Founder Teams,Percentage of startups with at least one founder with business background.
Female Founders,Percentage of founders who are women.
Founder Age,Average age of founders (16-80 years old).
Founder Team Number,Average founder team size.
Founders 30+,Percentage of founders who are 30 years old or older
Founders Grad,Percentage of founders with Masters degree or a PhD.
Founders Undergrad,Percentage of founders with undergraduate degree.
Immigrant Founders,Percentage of entrepreneurs that immigrated to the country
Startups with 2 or 3 Founders,Percentage of founding team with 2 or 3 founders. The first Startup Genome reports established that startups with 1 or 4+ founders are significantly less successful.
International Travel,"Average number of startup leaders who have traveled 2 or more time to Silicon Valley, NYC, London, Berlin, Tel Aviv, Singapore or Shanghai in the last 2 years."
Connections to Top Ecosystems,"Average number of significant relationships startup leaders have with entrepreneurs from Silicon Valley, NYC, London, Berlin, Tel Aviv, Singapore and Shanghai."
Collision Index,Index measuring the engagement of founders with others in the startup community
Collisions Score,Score measuring the engagement of founders with others in the startup community
Local Community Relationships,Average number of relationships to the startup community
Local Events,Average number of attended startup events during the last two weeks
Coworking,Percentage of startups working in co-working spaces
Coworking Nr Startups,Average number of startups in co-working spaces in the ecosystem
Office Distance,Average distance of founders to the startup's office
Office Nr Startups,Average number of startups in the same workspace. This accounts for the use and size of co-working spaces.
Local Connectedness Score,"Score measuring the degree of Local Connectedness in an ecosystem, taking into account Sense of Community, Number of Relationships, and Collisions"
Local Expert Relationships,Average number of relationships to local experts
Local Investor Relationships,Average number of relationships to local investors
Number of Relationships Between Founders,Average relationships between founders in the ecosystem
Local Relationships Score,Score measuring the number of relationships among the startup community within an ecosystem
Local Founder Help,Average number of hours founders received help from other founders and executives during the last two weeks
Local Founder Investor Introductions,Average number of introductions to local investors and partners received from other founders and executives during the last two weeks
Local Investor Help,Average number of hours founders received help from local investors and experts during the last two weeks
Sense of Community Index,Index measuring the extent to which the startup community is helping each other
Sense of Community Score,Score measuring the extent to which the startup community is helping each other
% Customers Outside Continent,Percentage of foreign customers outside of the ecosystem's continent. This is often a more comparable metric than the percentage of Foreign Customers because the latter negatively correlated with national GDP. ROW Customers is a better metric to compare the ability of startups from the same continent to go global.
% Customers Within Country,Percentage of foreign customers outside of the ecosystem's country.
Foreign Customer,Percentage of foreign customers outside of the ecosystem's country.
Employees - Local (#),Average number of local employees per startup
Employees - Local (%),Average percentage of local employees per startup
Employees - National (#),Average number of national employees per startup
Employees - National (%),Average percentage of national employees per startup
Employees - Total (#),Average number of employees per startup
Output,Estimated number of startups: an estimate of the number of tech-startups in an ecosystem.
Startup Density Per Million Population,Number of startups per million people in an ecosystem.
Three Month Sales,Total sales of the last three months
Global Entrepreneur Attraction,Percent of entrepreneurs that moved to the ecosystem from another country to start a startup in the ecosystem
National Entrepreneur Attraction,Percent of entrepreneurs that moved to the ecosystem from another city within the same country to start a startup in the ecosystem.
Global Startup Attraction,Percent of startups that moved to the ecosystem from another country.
National Startup Attraction,Percent of startups that moved to the ecosystem from within the country
Advisors with Equity,Average number of advisors with equity (Seed+ funding required).
Founder Hypergrowth Experience,Percentage of startups that have founders with prior hypergrowth or unicorn experience.
Stock Options to All Employees,Percentage of startups that offer an Employee Stock Option Plan to all employees.
Contractor Share,Average external contractors as percentage of total workforce
Engineer Salaries ($K),Average annual salary offered to software engineers in the ecosystem in 2018 (in $'000)
